City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Moranbah,AU,2022-12-07 23:30:01,-22.0016,148.0466,308.77,20,1,6.62
160,Srednekolymsk,RU,2022-12-07 23:30:02,67.45,153.6833,231.19,100,26,0.28
161,Sola,VU,2022-12-07 23:30:02,-13.8833,167.55,303.52,74,55,0.0
162,Motril,ES,2022-12-07 23:30:03,36.7507,-3.5179,288.73,92,100,1.75
163,San Patricio,US,2022-12-07 23:30:04,28.017,-97.5169,299.07,86,18,6.23
164,Soria,ES,2022-12-07 23:28:35,41.6667,-2.6667,279.18,91,77,1.96
165,Maturin,VE,2022-12-07 23:30:05,9.75,-63.1767,299.06,78,100,2.06
166,Trollhattan,SE,2022-12-07 23:30:05,58.2333,12.4167,265.6,85,41,2.57
167,Qarqin,AF,2022-12-07 23:30:06,37.4185,66.0436,275.74,62,98,1.4
168,Jumla,NP,2022-12-07 23:30:07,29.2747,82.1838,276.16,24,0,2.39
169,Douentza,ML,2022-12-07 23:30:07,14.9951,-2.9517,297.83,16,0,1.89
170,Hobart,AU,2022-12-07 23:30:02,-42.8794,147.3294,282.19,76,100,5.77
171,Carnarvon,AU,2022-12-07 23:30:08,-24.8667,113.6333,295.69,59,57,6.07
172,Vao,NC,2022-12-07 23:30:08,-22.6667,167.4833,297.58,82,84,3.47
173,Vila Franca Do Campo,PT,2022-12-07 23:30:09,37.7167,-25.4333,288.38,82,96,7.47
174,Portland,US,2022-12-07 23:25:36,45.5234,-122.6762,278.6,85,100,3.6
175,Oyama,JP,2022-12-07 23:30:10,36.3,139.8,281.25,48,0,2.35
176,Bandarban,BD,2022-12-07 23:30:10,22.1965,92.2262,288.05,91,76,1.14
177,Glendive,US,2022-12-07 23:30:11,47.1053,-104.7125,263.25,79,0,6.69
178,Awjilah,LY,2022-12-07 23:31:12,29.1081,21.2869,291.56,40,65,5.0
179,Oropesa,PE,2022-12-07 23:31:13,-13.5928,-71.7719,288.07,58,40,1.03
180,Asau,RO,2022-12-07 23:31:13,46.4333,26.4,275.66,90,100,2.15
181,Christchurch,NZ,2022-12-07 23:27:42,-43.5333,172.6333,292.77,52,100,12.35
182,Talnakh,RU,2022-12-07 23:31:14,69.4865,88.3972,247.15,100,86,2.21
183,Ahipara,NZ,2022-12-07 23:31:14,-35.1667,173.1667,290.15,82,94,6.42
184,Russkaya Polyana,UA,2022-12-07 23:31:15,49.417,31.9201,274.43,96,100,3.66
185,Kawambwa,ZM,2022-12-07 23:31:16,-9.7915,29.0791,289.88,88,53,1.04
186,Nikolskoye,RU,2022-12-07 23:31:16,59.7035,30.7861,268.1,88,100,5.58
187,Flin Flon,CA,2022-12-07 23:31:17,54.7682,-101.865,249.06,70,100,4.63
188,Ozinki,RU,2022-12-07 23:31:17,51.1786,49.6769,260.95,81,5,3.19
189,Vilcun,CL,2022-12-07 23:31:18,-38.65,-72.2333,289.56,99,96,3.47
190,Longyearbyen,SJ,2022-12-07 23:31:18,78.2186,15.6401,268.06,68,40,6.69
191,Saldanha,ZA,2022-12-07 23:31:19,-33.0117,17.9442,290.18,91,47,5.02
192,Tiznit,MA,2022-12-07 23:31:20,29.5833,-9.5,292.41,42,98,2.54
193,Sitka,US,2022-12-07 23:31:20,57.0531,-135.33,279.09,81,100,5.66
194,Yabassi,CM,2022-12-07 23:31:21,4.457,9.9682,296.8,97,99,0.31
195,Ampanihy,MG,2022-12-07 23:31:21,-24.7,44.75,297.37,77,8,0.88
196,San Quintin,MX,2022-12-07 23:29:35,30.4833,-115.95,289.53,53,24,7.16
197,Kefamenanu,ID,2022-12-07 23:31:22,-9.4467,124.4781,300.22,57,90,0.48
198,Charters Towers,AU,2022-12-07 23:31:23,-20.1,146.2667,305.69,28,5,4.68
199,Anadyr,RU,2022-12-07 23:31:23,64.75,177.4833,252.43,71,0,3.0
200,Hithadhoo,MV,2022-12-07 23:31:24,-0.6,73.0833,300.63,77,100,7.19
201,Berlevag,NO,2022-12-07 23:31:24,70.8578,29.0864,275.12,87,100,13.38
202,Anchorage,US,2022-12-07 23:27:52,61.2181,-149.9003,272.21,89,100,3.6
203,East London,ZA,2022-12-07 23:31:25,-33.0153,27.9116,293.62,91,19,4.94
204,Avarua,CK,2022-12-07 23:31:26,-21.2078,-159.775,301.18,74,20,4.63
205,Bethel,US,2022-12-07 23:31:26,41.3712,-73.414,287.6,89,100,2.06
