City_Name,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
276,Bannu,PK,32.9854,70.6027,56.89,46,5,clear sky
277,Kropotkin,RU,45.4375,40.5756,40.05,62,100,overcast clouds
278,Asau,RO,46.4333,26.4,38.32,84,100,overcast clouds
279,Kalabo,ZM,-14.97,22.6814,65.5,91,100,light rain
280,Kavieng,PG,-2.5744,150.7967,83.68,72,56,light rain
281,Bud,US,39.447,-86.1758,45.9,97,100,overcast clouds
282,Rawson,AR,-43.3002,-65.1023,65.08,36,17,few clouds
283,Brooks,CA,50.5834,-111.8851,10.38,85,24,few clouds
284,Ahipara,NZ,-35.1667,173.1667,67.05,94,77,broken clouds
285,Ballina,AU,-28.8667,153.5667,73.02,86,87,overcast clouds
286,San Policarpo,PH,12.1791,125.5072,80.26,83,100,overcast clouds
287,Mount Gambier,AU,-37.8333,140.7667,76.39,29,0,clear sky
288,Luanda,AO,-8.8368,13.2343,77.27,86,100,overcast clouds
289,Ponta Do Sol,PT,32.6667,-17.1,67.01,73,99,overcast clouds
290,Numan,NG,9.4667,12.0333,68.94,26,0,clear sky
291,Ocos,GT,14.5094,-92.1933,79.61,73,1,clear sky
292,Kitakata,JP,37.65,139.8667,42.8,95,95,overcast clouds
293,Taveta,KE,-3.3963,37.6736,67.21,92,99,overcast clouds
294,Nipawin,CA,53.3668,-104.0009,17.64,79,100,overcast clouds
295,College,US,64.8569,-147.8028,15.75,79,100,light snow
296,Karratha,AU,-20.7377,116.8463,96.46,23,3,clear sky
297,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,97,100,moderate rain
298,Grindavik,IS,63.8424,-22.4338,30.67,74,0,clear sky
299,Basqal,AZ,40.7552,48.391,32.67,82,88,overcast clouds
300,Bowen,AU,-20.0167,148.2333,83.5,64,81,broken clouds
301,Sitka,US,57.0531,-135.33,37.29,81,75,light rain
302,San Rafael,AR,-34.6177,-68.3301,79.34,32,11,few clouds
303,Srednekolymsk,RU,67.45,153.6833,-38.51,97,97,overcast clouds
304,Krutinka,RU,56.0055,71.5113,8.69,95,100,light snow
305,Ancud,CL,-41.8697,-73.8203,54.07,91,55,broken clouds
306,Severnyy-Kospashskiy,RU,59.0925,57.8008,8.6,72,100,light snow
307,Poum,NC,-20.2333,164.0167,81.91,72,1,clear sky
308,Great Yarmouth,GB,52.6083,1.7305,30.94,87,9,clear sky
309,Noumea,NC,-22.2763,166.4572,89.58,99,21,few clouds
310,Ventspils,LV,57.3894,21.5606,24.73,86,0,clear sky
311,Souillac,MU,-20.5167,57.5167,77.38,83,40,scattered clouds
312,Gamba,GA,-2.65,10.0,76.57,89,100,light rain
313,Port Elizabeth,ZA,-33.918,25.5701,68.31,89,20,few clouds
314,Labuhan,ID,-6.8844,112.2051,83.64,66,26,scattered clouds
315,Ukiah,US,39.1502,-123.2078,47.44,91,100,overcast clouds
316,Saint-Jean-De-Maurienne,FR,45.1667,6.5833,20.14,98,100,light snow
317,Pangai,TO,-19.8,-174.35,78.91,83,100,light rain
318,Maceio,BR,-9.6658,-35.7353,76.44,94,0,clear sky
319,Kerema,PG,-7.9631,145.7785,83.75,71,100,overcast clouds
320,Isangel,VU,-19.55,169.2667,86.11,70,100,overcast clouds
321,Bad Nauheim,DE,50.3646,8.7386,33.19,93,87,overcast clouds
322,Prince Rupert,CA,54.3161,-130.3201,37.09,85,100,overcast clouds
323,Touros,BR,-5.1989,-35.4608,78.48,80,12,few clouds
324,Asmar,AF,35.0333,71.3581,47.64,56,82,broken clouds
325,Usakos,NA,-22.0,15.6,63.91,41,1,clear sky
326,Port Hardy,CA,50.6996,-127.4199,37.58,87,100,light rain
327,Havre,FR,49.5833,0.3333,30.34,100,100,fog
